type_dossier,cumul_crd_immo,nbr_credit_immo,cumul_crd_conso,nbr_credit_conso,nbr_enfants,emprunteur_salaire,coemprunteur_salaire,emprunteur.situation_familiale.libelle,emprunteur.intitule,emprunteur.allocation_familiale,emprunteur.anciennete,emprunteur.dette_divers.retard_loyer,emprunteur.dette_divers.retard_impot,emprunteur.dette_divers.decouvert,emprunteur.charge.loyer,emprunteur.charge.charge_courante,emprunteur.complement.tresorerie,emprunteur.complement_banque.huissier,emprunteur.nombre_rejets,emprunteur.estimation_retraite,coemprunteur.situation_familiale.libelle,coemprunteur.intitule,coemprunteur.allocation_familiale,coemprunteur.anciennete,coemprunteur.nombre_rejets,coemprunteur.estimation_retraite,est_encaisse,emprunteur_subventions,coemprunteur_subventions,type_contrat_menage,CategorieDPT,age_cat,co_age_cat
proprietaire,0.0,0.0,71000.0,5.0,1,1600.0,1600.0,Marié(e),Madame,0.0,4.0,0.0,0.0,0.0,0.0,0.0,35000.0,False,0,76.19047619047619,Marié(e),Monsieur,0.0,8.0,0.0,0.0,non_encaisse,0.0,0.0,CDI,2,55-60,6
locataire,0.0,0.0,49842.0,4.0,0,3310.16,0.0,Marié(e),Monsieur,0.0,0.0,0.0,0.0,0.0,892.0,0.0,0.0,False,0,0.0,Marié(e),Madame,0.0,0.0,0.0,0.0,non_encaisse,0.0,0.0,CDI,1,70+,6
proprietaire,108609.0,1.0,60628.0,2.0,1,3021.44,0.0,Célibataire,Madame,0.0,21.0,0.0,0.0,0.0,0.0,0.0,10000.0,False,0,755.36,Aucun coemprunteur,Aucun coemprunteur,0.0,0.0,0.0,0.0,non_encaisse,0.0,0.0,CDI,4,55-60,10
locataire,0.0,0.0,35001.0,3.0,0,2000.0,0.0,Célibataire,Monsieur,0.0,8.0,0.0,0.0,0.0,300.0,0.0,5000.0,False,0,190.47619047619045,Aucun coemprunteur,Aucun coemprunteur,0.0,0.0,0.0,0.0,non_encaisse,0.0,0.0,CDI,2,50-55,10
proprietaire,0.0,0.0,26402.85,6.0,0,2173.0,0.0,Divorcé(e),Madame,0.0,5.0,0.0,0.0,2392.0,900.0,0.0,3000.0,False,0,129.3452380952381,Aucun coemprunteur,Aucun coemprunteur,0.0,0.0,0.0,0.0,non_encaisse,0.0,0.0,RETRAITE,2,70+,10
locataire,0.0,0.0,48689.0,3.0,4,7416.66,0.0,Concubins,Monsieur,0.0,6.0,0.0,0.0,1000.0,770.0,0.0,5000.0,False,0,529.7614285714285,Aucun coemprunteur,Aucun coemprunteur,0.0,0.0,0.0,0.0,non_encaisse,0.0,0.0,CDI,1,30-35,10
proprietaire,0.0,0.0,3217.0,1.0,4,4509.0,4383.0,Marié(e),Monsieur,338.8,23.0,0.0,0.0,1000.0,900.0,0.0,15000.0,False,0,1234.607142857143,Marié(e),Madame,0.0,20.0,0.0,0.0,non_encaisse,0.0,0.0,CDI,0,50-55,4
locataire,0.0,0.0,36639.37,5.0,0,2623.0,0.0,Veuf/Veuve,Madame,0.0,7.0,0.0,0.0,0.0,630.0,0.0,7000.0,False,0,218.58333333333331,Aucun coemprunteur,Aucun coemprunteur,0.0,0.0,0.0,0.0,non_encaisse,0.0,0.0,RETRAITE,1,70+,10
proprietaire,96000.0,1.0,0.0,0.0,0,2200.0,0.0,Concubins,Monsieur,0.0,1.0,0.0,0.0,700.0,0.0,0.0,75000.0,False,0,26.19047619047619,Concubins,Monsieur,0.0,0.0,0.0,0.0,non_encaisse,0.0,0.0,CDI,3,40-45,3
locataire,0.0,0.0,90000.0,6.0,0,4300.0,0.0,Marié(e),Monsieur,0.0,0.0,0.0,0.0,0.0,1930.0,0.0,0.0,False,0,0.0,Aucun coemprunteur,Aucun coemprunteur,0.0,0.0,0.0,0.0,non_encaisse,0.0,0.0,RETRAITE,1,70+,10
